CHRYSLER;68308741AC;7700;1;Теплообмінник Mopar (новий оригінал)
TIMKEN;HA590419;5600;1;Ступица передняя
STANDARD;VVT359;2600;1;Регулятор фаз ГРМ (Клапан електромагнітний) випуск
NGK;LFR5AHX;650;3;Свічки запалювання LFR5AHX 96355
STANDARD;LDP13;1950;2;Клапан парів бензину
POWER STOP;171589;3000;2;гальмівні колодки передні
POWER STOP;171734;2600;2;Колодки тормозные задние дисковые
STANDARD;CP796;2250;1;Клапан адсорбера топливных паров
POWER STOP;171596;2400;1;Гальмівні колодки задні
CHRYSLER;5047901AC;6300;1;Соленоїд зміни фаз газорозподілу (VVT) задній
POWER STOP;171498;3200;2;гальмівні колодки задні
